step,train_loss,val_loss
49,112.29719543457031,
99,100.96198272705078,
119,,102.9720230102539
149,4.186569690704346,
199,4.0412068367004395,
239,,3.354757070541382
249,3.3564600944519043,
299,3.257115602493286,
349,3.20743465423584,
359,,3.212629556655884
399,3.288740634918213,
449,3.1158642768859863,
479,,3.176510810852051
499,3.268371820449829,
549,3.1112375259399414,
599,3.200134515762329,3.0794551372528076
649,3.081800937652588,
699,2.993908643722534,
719,,2.955902576446533
749,3.1938538551330566,
799,2.9902679920196533,
839,,2.9990785121917725
849,3.104424476623535,
899,2.8989481925964355,
949,2.8520140647888184,
959,,2.797459363937378
999,2.7661142349243164,
1049,3.4377777576446533,
1079,,2.653024911880493
1099,2.613560199737549,
1149,2.4700963497161865,
1199,2.4948925971984863,2.392390489578247
1249,2.3913726806640625,
1299,2.364388942718506,
1319,,2.1950438022613525
1349,2.216006278991699,
1399,2.091388463973999,
1439,,1.8979820013046265
1449,1.9967243671417236,
1499,2.0041396617889404,
1549,2.291388511657715,
1559,,1.7387707233428955
1599,1.9024789333343506,
1649,1.7644851207733154,
1679,,1.5638912916183472
1699,1.9146819114685059,
1749,1.5676285028457642,
1799,1.768188714981079,1.388041615486145
1849,1.5920813083648682,
1899,1.5247654914855957,
1919,,1.3039638996124268
1949,1.5362712144851685,
1999,1.3287427425384521,
2039,,1.1879266500473022
2049,1.3769872188568115,
2099,1.2988066673278809,
2149,1.2822389602661133,
2159,,1.1300674676895142
2199,1.3918943405151367,
2249,1.2160604000091553,
2279,,1.0906493663787842
2299,1.177938461303711,
2349,1.1591795682907104,
2399,1.118308186531067,1.0224450826644897
2449,1.188033938407898,
2499,1.1724250316619873,
2519,,1.0192146301269531
2549,0.9884167909622192,
2599,1.1182605028152466,
2639,,0.9759881496429443
2649,1.1484695672988892,
2699,1.0003529787063599,
2749,0.9414862394332886,
2759,,0.9148403406143188
2799,1.0744049549102783,
2849,1.049839735031128,
2879,,0.8896687626838684
2899,1.028691053390503,
2949,0.9114254713058472,
2999,0.8853369355201721,0.8766756057739258
3049,0.9364080429077148,
3099,0.8822962045669556,
3119,,0.8502174019813538
3149,0.8793303966522217,
3199,0.8671046495437622,
3239,,0.8317418098449707
3249,0.8554496765136719,
3299,0.9007811546325684,
3349,0.8049322366714478,
3359,,0.8068152666091919
3399,0.7618808746337891,
3449,0.8429141044616699,
3479,,0.8154742121696472
3499,0.7521321773529053,
3549,0.748672604560852,
3599,0.9017386436462402,0.7947754859924316
3649,0.7241708040237427,
3699,0.7111217975616455,
3719,,0.7894054651260376
3749,0.7373546957969666,
3799,0.838416576385498,
3839,,0.7932971715927124
3849,0.7135524749755859,
3899,0.7891877889633179,
3949,0.821559488773346,
3959,,0.7991291880607605
3999,0.7581183314323425,
4049,0.754955530166626,
4079,,0.7782313227653503
4099,0.5974582433700562,
4149,0.6805019378662109,
4199,0.6284911036491394,0.7587553262710571
4249,0.5917882919311523,
4299,0.6525411605834961,
4319,,0.7416344881057739
4349,0.6796622276306152,
4399,0.7155317664146423,
4439,,0.7492845058441162
4449,0.5946306586265564,
4499,0.4963541328907013,
4549,0.6217540502548218,
4559,,0.7366471290588379
4599,0.43480992317199707,
4649,0.45494896173477173,
4679,,0.7373802065849304
4699,0.5442551970481873,
4749,0.5376366376876831,
4799,0.3975185453891754,0.7391464710235596
4849,0.47828158736228943,
4899,0.5500670671463013,
4919,,0.7266110777854919
4949,0.6076596975326538,
4999,0.6162745356559753,
5039,,0.7267545461654663
5049,0.496583491563797,
5099,0.5261890292167664,
5149,0.5455389618873596,
5159,,0.7201804518699646
5199,0.44782817363739014,
5249,0.5874340534210205,
5279,,0.7151561379432678
5299,0.3749673068523407,
5349,0.35898467898368835,
5399,0.48746025562286377,0.7255712747573853
5449,0.5195333957672119,
5499,0.4320366382598877,
5519,,0.7128262519836426
5549,0.3943882882595062,
5599,0.431629478931427,
5639,,0.7178012132644653
5649,0.510108470916748,
5699,0.4849953055381775,
5749,0.4416525363922119,
5759,,0.7173155546188354
5799,0.530296266078949,
5849,0.41640013456344604,
5879,,0.7175429463386536
5899,0.3495270609855652,
5949,0.35087263584136963,
5999,0.5064224004745483,0.7167253494262695
