lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,2049,2.236027479171753,17,,,,,,,,,,,,,,
,2099,2.3277206420898438,17,,,,,,,,,,,,,,
,2149,2.2059497833251953,17,,,,,,,,,,,,,,
,2159,,17,2.051407814025879,86.53079223632812,85.7332763671875,0.0,0.7975188493728638,,,,,,,,,
,2159,,17,,,,,,87.83125305175781,87.15467834472656,0.0013723633019253612,0.6752027869224548,,,,,
0.0009919728295050155,2160,,,,,,,,,,,,,,,,
,2199,2.0515007972717285,18,,,,,,,,,,,,,,
,2249,1.976567029953003,18,,,,,,,,,,,,,,
,2279,,18,1.9573087692260742,82.7868881225586,80.77093505859375,0.0,2.0159504413604736,,,,,,,,,
,2279,,18,,,,,,82.85537719726562,80.59744262695312,0.001373437698930502,2.2565581798553467,,,,,
0.0009898478615124062,2280,,,,,,,,,,,,,,,,
,2299,2.0305423736572266,19,,,,,,,,,,,,,,
,2349,1.937188744544983,19,,,,,,,,,,,,,,
,2399,1.9203194379806519,19,,,,,,,,,,,,,,
,2399,,19,1.7205144166946411,68.63092803955078,61.010189056396484,0.022153301164507866,7.5985822677612305,,,,,,,,,
,2399,,19,,,,,,73.50452423095703,66.64051818847656,0.03440256416797638,6.829596996307373,,,,,
0.000987476492134821,2400,,,,,,,,,,,,,,,,
,2449,2.1483428478240967,20,,,,,,,,,,,,,,
,2499,1.557281494140625,20,,,,,,,,,,,,,,
,2519,,20,1.4762192964553833,53.9654426574707,40.16393280029297,0.11076650768518448,13.690739631652832,,,,,,,,,
,2519,,20,,,,,,61.647682189941406,48.09586715698242,0.2242584377527237,13.327554702758789,,,,,
0.0009848599154281552,2520,,,,,,,,,,,,,,,,
,2549,1.727734088897705,21,,,,,,,,,,,,,,
,2599,1.7329785823822021,21,,,,,,,,,,,,,,
,2639,,21,1.3978232145309448,48.44926834106445,31.214000701904297,0.4430660307407379,16.79220199584961,,,,,,,,,
,2639,,21,,,,,,52.14937210083008,31.525022506713867,0.7182881832122803,19.90605926513672,,,,,
0.0009819994489175788,2640,,,,,,,,,,,,,,,,
,2649,1.7137792110443115,22,,,,,,,,,,,,,,
,2699,1.5304441452026367,22,,,,,,,,,,,,,,
,2749,1.4109985828399658,22,,,,,,,,,,,,,,
,2759,,22,1.2807202339172363,39.587947845458984,17.855560302734375,1.2627381086349487,20.469650268554688,,,,,,,,,
,2759,,22,,,,,,48.08872604370117,26.97250747680664,0.9590775370597839,20.157140731811523,,,,,
0.0009788965329341228,2760,,,,,,,,,,,,,,,,
,2799,1.3961834907531738,23,,,,,,,,,,,,,,
,2849,1.4061710834503174,23,,,,,,,,,,,,,,
,2879,,23,1.2152992486953735,38.56889724731445,17.611873626708984,1.3291980028152466,19.627824783325195,,,,,,,,,
,2879,,23,,,,,,44.38375473022461,22.661731719970703,1.0786714553833008,20.64335060119629,,,,,
0.0009755527298894293,2880,,,,,,,,,,,,,,,,
,2899,1.406482219696045,24,,,,,,,,,,,,,,
,2949,1.3670682907104492,24,,,,,,,,,,,,,,
,2999,1.3440665006637573,24,,,,,,,,,,,,,,
,2999,,24,1.172918677330017,36.64155960083008,14.000885963439941,1.7279574871063232,20.912715911865234,,,,,,,,,
,2999,,24,,,,,,41.4390869140625,19.649171829223633,1.1941940784454346,20.595722198486328,,,,,
0.0009719697234890296,3000,,,,,,,,,,,,,,,,
,3049,1.2307404279708862,25,,,,,,,,,,,,,,
,3099,1.2311396598815918,25,,,,,,,,,,,,,,
,3119,,25,1.1091363430023193,34.60345458984375,13.447053909301758,1.9937970638275146,19.16260528564453,,,,,,,,,
,3119,,25,,,,,,39.1562614440918,17.951433181762695,1.399812936782837,19.805015563964844,,,,,
0.0009681493178845487,3120,,,,,,,,,,,,,,,,
,3149,1.1609153747558594,26,,,,,,,,,,,,,,
,3199,1.2151471376419067,26,,,,,,,,,,,,,,
,3239,,26,1.090742826461792,33.67301559448242,13.048294067382812,1.9716438055038452,18.653079986572266,,,,,,,,,
,3239,,26,,,,,,37.86740493774414,16.723085403442383,1.487505555152893,19.656814575195312,,,,,
0.0009640934367652599,3240,,,,,,,,,,,,,,,,
,3249,1.3544994592666626,27,,,,,,,,,,,,,,
,3299,1.4636516571044922,27,,,,,,,,,,,,,,
,3349,1.128126621246338,27,,,,,,,,,,,,,,
,3359,,27,1.0499917268753052,32.27735900878906,11.652636528015137,1.9273371696472168,18.697385787963867,,,,,,,,,
,3359,,27,,,,,,36.35460662841797,15.471953392028809,1.5023590326309204,19.380294799804688,,,,,
0.0009598041223894496,3360,,,,,,,,,,,,,,,,
,3399,1.0895111560821533,28,,,,,,,,,,,,,,
,3449,1.3052756786346436,28,,,,,,,,,,,,,,
,3479,,28,1.1412382125854492,33.98316192626953,9.836065292358398,2.813469171524048,21.333629608154297,,,,,,,,,
,3479,,28,,,,,,35.041500091552734,14.506376266479492,1.6710642576217651,18.86406135559082,,,,,
0.0009552835345560785,3480,,,,,,,,,,,,,,,,
,3499,1.314432978630066,29,,,,,,,,,,,,,,
,3549,1.1266306638717651,29,,,,,,,,,,,,,,
,3599,1.1349706649780273,29,,,,,,,,,,,,,,
,3599,,29,0.957631528377533,30.128488540649414,10.34559154510498,1.4621179103851318,18.32077980041504,,,,,,,,,
,3599,,29,,,,,,33.960426330566406,13.604218482971191,1.7521936893463135,18.60401153564453,,,,,
0.0009505339495172582,3600,,,,,,,,,,,,,,,,
,3649,1.068564772605896,30,,,,,,,,,,,,,,
,3699,1.2252566814422607,30,,,,,,,,,,,,,,
,3719,,30,0.9914734363555908,29.419584274291992,7.199822902679443,2.259636640548706,19.960124969482422,,,,,,,,,
,3719,,30,,,,,,32.17707824707031,12.540498733520508,1.7867729663848877,17.84980583190918,,,,,
0.0009455577588320895,3720,,,,,,,,,,,,,,,,
,3749,1.0886502265930176,31,,,,,,,,,,,,,,
,3799,1.2335715293884277,31,,,,,,,,,,,,,,
,3839,,31,0.960800051689148,30.394329071044922,11.408949851989746,1.2848914861679077,17.70048713684082,,,,,,,,,
,3839,,31,,,,,,31.653837203979492,12.04325008392334,1.7014503479003906,17.909137725830078,,,,,
0.0009403574681624404,3840,,,,,,,,,,,,,,,,
,3849,1.0217065811157227,32,,,,,,,,,,,,,,
,3899,1.024320125579834,32,,,,,,,,,,,,,,
,3949,1.0863345861434937,32,,,,,,,,,,,,,,
,3959,,32,0.9198153018951416,28.046079635620117,9.016393661499023,1.7501107454299927,17.27957534790039,,,,,,,,,
,3959,,32,,,,,,30.75029945373535,11.670401573181152,1.7241616249084473,17.355735778808594,,,,,
0.0009349356960112697,3960,,,,,,,,,,,,,,,,
,3999,0.9009100794792175,33,,,,,,,,,,,,,,
,4049,0.9406415224075317,33,,,,,,,,,,,,,,
,4079,,33,0.883427619934082,27.558706283569336,8.462560653686523,1.7501107454299927,17.34603500366211,,,,,,,,,
,4079,,33,,,,,,29.216535568237305,10.690254211425781,1.8586950302124023,16.667585372924805,,,,,
0.0009292951724041319,4080,,,,,,,,,,,,,,,,
,4099,0.8399139046669006,34,,,,,,,,,,,,,,
,4149,1.1288425922393799,34,,,,,,,,,,,,,,
,4199,1.019252896308899,34,,,,,,,,,,,,,,
,4199,,34,0.9459220767021179,30.305715560913086,13.890119552612305,0.6867523193359375,15.728843688964844,,,,,,,,,
,4199,,34,,,,,,27.975765228271484,9.992032051086426,1.8176072835922241,16.166126251220703,,,,,
0.0009234387375145277,4200,,,,,,,,,,,,,,,,
,4249,0.9892075657844543,35,,,,,,,,,,,,,,
,4299,0.8789148330688477,35,,,,,,,,,,,,,,
,4319,,35,0.9280853271484375,28.02392578125,8.529021263122559,1.5728843212127686,17.922019958496094,,,,,,,,,
,4319,,35,,,,,,28.079408645629883,10.197418212890625,1.808863878250122,16.0731258392334,,,,,
0.0009173693402337905,4320,,,,,,,,,,,,,,,,
,4349,0.8298726081848145,36,,,,,,,,,,,,,,
,4399,0.9231723546981812,36,,,,,,,,,,,,,,
,4439,,36,0.8826190233230591,28.223304748535156,10.700044631958008,1.0633584260940552,16.459901809692383,,,,,,,,,
,4439,,36,,,,,,27.601072311401367,9.760411262512207,1.9247243404388428,15.915936470031738,,,,,
0.0009110900366862309,4440,,,,,,,,,,,,,,,,
,4449,0.9582593441009521,37,,,,,,,,,,,,,,
,4499,0.9015040397644043,37,,,,,,,,,,,,,,
,4549,0.8797816038131714,37,,,,,,,,,,,,,,
,4559,,37,0.8639308214187622,26.49534797668457,8.617633819580078,1.5507310628890991,16.326982498168945,,,,,,,,,
,4559,,37,,,,,,26.215898513793945,9.138752937316895,1.8371434211730957,15.240002632141113,,,,,
0.000904603988690286,4560,,,,,,,,,,,,,,,,
,4599,0.8415758013725281,38,,,,,,,,,,,,,,
,4649,0.9267547726631165,38,,,,,,,,,,,,,,
,4679,,38,0.8882102966308594,27.04918098449707,8.21887493133545,1.6614975929260254,17.168807983398438,,,,,,,,,
,4679,,38,,,,,,24.945388793945312,8.686990737915039,1.911055564880371,14.347342491149902,,,,,
0.0008979144621664494,4680,,,,,,,,,,,,,,,,
,4699,0.955351710319519,39,,,,,,,,,,,,,,
,4749,0.8161561489105225,39,,,,,,,,,,,,,,
,4799,0.9780736565589905,39,,,,,,,,,,,,,,
,4799,,39,0.8820618391036987,26.18520164489746,8.041647911071777,1.5064244270324707,16.637128829956055,,,,,,,,,
,4799,,39,,,,,,24.633893966674805,8.444138526916504,1.909934639930725,14.279821395874023,,,,,
0.0008910248254927808,4800,,,,,,,,,,,,,,,,
,4849,0.8014969825744629,40,,,,,,,,,,,,,,
,4899,0.7211251258850098,40,,,,,,,,,,,,,,
,4919,,40,0.8393068313598633,25.498449325561523,7.975188255310059,1.3513513803482056,16.17190933227539,,,,,,,,,
,4919,,40,,,,,,23.880084991455078,8.224615097045898,1.914361834526062,13.741107940673828,,,,,
0.0008839385478088264,4920,,,,,,,,,,,,,,,,
,4949,0.6845775842666626,41,,,,,,,,,,,,,,
,4999,0.7422103881835938,41,,,,,,,,,,,,,,
,5039,,41,0.8057621121406555,24.988924026489258,8.041647911071777,1.4842711687088013,15.463004112243652,,,,,,,,,
,5039,,41,,,,,,23.001981735229492,7.798051357269287,1.864542007446289,13.339387893676758,,,,,
0.0008766591972688036,5040,,,,,,,,,,,,,,,,
,5049,0.7569421529769897,42,,,,,,,,,,,,,,
