lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,2149,2.1401922702789307,17,,,,,,,,,,,,,,
,2159,,17,2.0348408222198486,84.75852966308594,82.91980743408203,0.0,1.8387240171432495,,,,,,,,,
,2159,,17,,,,,,85.2278823852539,83.43968963623047,0.0013723633019253612,1.7868170738220215,,,,,
0.0009919728295050155,2160,,,,,,,,,,,,,,,,
,2199,2.0048325061798096,18,,,,,,,,,,,,,,
,2249,1.968196988105774,18,,,,,,,,,,,,,,
,2279,,18,2.0260002613067627,83.2964096069336,80.7930908203125,0.0,2.5033230781555176,,,,,,,,,
,2279,,18,,,,,,80.15245056152344,76.276611328125,0.00686718849465251,3.868973970413208,,,,,
0.0009898478615124062,2280,,,,,,,,,,,,,,,,
,2299,2.0370934009552,19,,,,,,,,,,,,,,
,2349,1.8819093704223633,19,,,,,,,,,,,,,,
,2399,1.9388726949691772,19,,,,,,,,,,,,,,
,2399,,19,1.7023909091949463,70.3145751953125,64.13380432128906,0.04430660232901573,6.1364641189575195,,,,,,,,,
,2399,,19,,,,,,75.40216827392578,69.45465087890625,0.006880512926727533,5.940634727478027,,,,,
0.000987476492134821,2400,,,,,,,,,,,,,,,,
,2449,2.1675615310668945,20,,,,,,,,,,,,,,
,2499,1.7986159324645996,20,,,,,,,,,,,,,,
,2519,,20,1.6291651725769043,68.1435546875,60.722198486328125,0.04430660232901573,7.377048969268799,,,,,,,,,
,2519,,20,,,,,,70.31946563720703,62.573604583740234,0.04265037551522255,7.7032084465026855,,,,,
0.0009848599154281552,2520,,,,,,,,,,,,,,,,
,2549,1.801332950592041,21,,,,,,,,,,,,,,
,2599,1.8572466373443604,21,,,,,,,,,,,,,,
,2639,,21,1.6404012441635132,64.24457550048828,56.64598846435547,0.022153301164507866,7.5764288902282715,,,,,,,,,
,2639,,21,,,,,,61.78926467895508,49.34626007080078,0.18540899455547333,12.25759506225586,,,,,
0.0009819994489175788,2640,,,,,,,,,,,,,,,,
,2649,1.7752084732055664,22,,,,,,,,,,,,,,
,2699,1.600231409072876,22,,,,,,,,,,,,,,
,2749,1.544971227645874,22,,,,,,,,,,,,,,
,2759,,22,1.318313717842102,42.60079574584961,21.9317684173584,0.7753655314445496,19.89366340637207,,,,,,,,,
,2759,,22,,,,,,51.8493537902832,33.20169448852539,0.572419285774231,18.075239181518555,,,,,
0.0009788965329341228,2760,,,,,,,,,,,,,,,,
,2799,1.5382108688354492,23,,,,,,,,,,,,,,
,2849,1.388775110244751,23,,,,,,,,,,,,,,
,2879,,23,1.2188671827316284,38.502437591552734,19.561365127563477,1.2627381086349487,17.678333282470703,,,,,,,,,
,2879,,23,,,,,,47.02539825439453,26.726011276245117,0.8599103093147278,19.439476013183594,,,,,
0.0009755527298894293,2880,,,,,,,,,,,,,,,,
,2899,1.4025976657867432,24,,,,,,,,,,,,,,
,2949,1.3204752206802368,24,,,,,,,,,,,,,,
,2999,1.314204216003418,24,,,,,,,,,,,,,,
,2999,,24,1.2072609663009644,37.52769088745117,16.41559600830078,1.2184315919876099,19.89366340637207,,,,,,,,,
,2999,,24,,,,,,43.53030014038086,23.011625289916992,0.9355437755584717,19.583131790161133,,,,,
0.0009719697234890296,3000,,,,,,,,,,,,,,,,
,3049,1.3955260515213013,25,,,,,,,,,,,,,,
,3099,1.2436027526855469,25,,,,,,,,,,,,,,
,3119,,25,1.1861486434936523,36.530792236328125,15.994683265686035,1.4178112745285034,19.11829948425293,,,,,,,,,
,3119,,25,,,,,,40.901214599609375,20.276662826538086,1.1908035278320312,19.43375015258789,,,,,
0.0009681493178845487,3120,,,,,,,,,,,,,,,,
,3149,1.3761844635009766,26,,,,,,,,,,,,,,
,3199,1.2734711170196533,26,,,,,,,,,,,,,,
,3239,,26,1.1074492931365967,33.62871170043945,12.981834411621094,1.3956578969955444,19.251218795776367,,,,,,,,,
,3239,,26,,,,,,39.74433135986328,19.182079315185547,1.3141237497329712,19.24812889099121,,,,,
0.0009640934367652599,3240,,,,,,,,,,,,,,,,
,3249,1.4511691331863403,27,,,,,,,,,,,,,,
,3299,1.4546960592269897,27,,,,,,,,,,,,,,
,3349,1.2812612056732178,27,,,,,,,,,,,,,,
,3359,,27,1.1454845666885376,35.29020690917969,14.37749195098877,1.2405848503112793,19.672130584716797,,,,,,,,,
,3359,,27,,,,,,38.24600601196289,17.760671615600586,1.4499351978302002,19.035400390625,,,,,
0.0009598041223894496,3360,,,,,,,,,,,,,,,,
,3399,1.1318910121917725,28,,,,,,,,,,,,,,
,3449,1.3148255348205566,28,,,,,,,,,,,,,,
,3479,,28,1.0756444931030273,33.008419036865234,11.253876686096191,2.0159504413604736,19.738590240478516,,,,,,,,,
,3479,,28,,,,,,36.171119689941406,15.780287742614746,1.4690523147583008,18.92177963256836,,,,,
0.0009552835345560785,3480,,,,,,,,,,,,,,,,
,3499,1.2359076738357544,29,,,,,,,,,,,,,,
,3549,1.2976908683776855,29,,,,,,,,,,,,,,
,3599,1.1003236770629883,29,,,,,,,,,,,,,,
,3599,,29,1.0057530403137207,31.94506072998047,12.84891414642334,1.2184315919876099,17.877714157104492,,,,,,,,,
,3599,,29,,,,,,34.593467712402344,14.70826530456543,1.5448416471481323,18.34035873413086,,,,,
0.0009505339495172582,3600,,,,,,,,,,,,,,,,
,3649,1.1286165714263916,30,,,,,,,,,,,,,,
,3699,1.266413688659668,30,,,,,,,,,,,,,,
,3719,,30,1.0486549139022827,31.19184684753418,10.279131889343262,2.193176746368408,18.719539642333984,,,,,,,,,
,3719,,30,,,,,,33.14629364013672,13.728923797607422,1.6626914739608765,17.754676818847656,,,,,
0.0009455577588320895,3720,,,,,,,,,,,,,,,,
,3749,1.2069480419158936,31,,,,,,,,,,,,,,
,3799,1.2133450508117676,31,,,,,,,,,,,,,,
,3839,,31,0.9693226218223572,30.593708038330078,12.671688079833984,1.129818320274353,16.79220199584961,,,,,,,,,
,3839,,31,,,,,,32.33167266845703,12.97081470489502,1.6616584062576294,17.699199676513672,,,,,
0.0009403574681624404,3840,,,,,,,,,,,,,,,,
,3849,1.0262665748596191,32,,,,,,,,,,,,,,
,3899,0.9631417393684387,32,,,,,,,,,,,,,,
,3949,1.1753779649734497,32,,,,,,,,,,,,,,
,3959,,32,0.995060384273529,28.954364776611328,7.687195301055908,2.5254762172698975,18.74169158935547,,,,,,,,,
,3959,,32,,,,,,31.50513458251953,12.506359100341797,1.7612847089767456,17.237491607666016,,,,,
0.0009349356960112697,3960,,,,,,,,,,,,,,,,
,3999,0.9618884325027466,33,,,,,,,,,,,,,,
,4049,1.0360164642333984,33,,,,,,,,,,,,,,
,4079,,33,0.9096453785896301,27.337173461914062,8.174568176269531,1.860877275466919,17.301727294921875,,,,,,,,,
,4079,,33,,,,,,30.68639373779297,11.671998023986816,1.7097787857055664,17.304616928100586,,,,,
0.0009292951724041319,4080,,,,,,,,,,,,,,,,
,4099,0.8623418807983398,34,,,,,,,,,,,,,,
,4149,1.1655497550964355,34,,,,,,,,,,,,,,
,4199,1.0204304456710815,34,,,,,,,,,,,,,,
,4199,,34,0.9329417943954468,29.153743743896484,10.65573787689209,1.3513513803482056,17.14665412902832,,,,,,,,,
,4199,,34,,,,,,29.210859298706055,10.959223747253418,1.7654008865356445,16.486234664916992,,,,,
0.0009234387375145277,4200,,,,,,,,,,,,,,,,
,4249,0.9164794087409973,35,,,,,,,,,,,,,,
,4299,0.8285025954246521,35,,,,,,,,,,,,,,
,4319,,35,0.9494742751121521,28.5777587890625,9.215773582458496,1.5285778045654297,17.833406448364258,,,,,,,,,
,4319,,35,,,,,,28.61256217956543,10.69612979888916,1.8198851346969604,16.096546173095703,,,,,
0.0009173693402337905,4320,,,,,,,,,,,,,,,,
,4349,0.8658422231674194,36,,,,,,,,,,,,,,
,4399,0.9483742117881775,36,,,,,,,,,,,,,,
,4439,,36,0.8804307579994202,27.53655242919922,10.434205055236816,1.2627381086349487,15.83961009979248,,,,,,,,,
,4439,,36,,,,,,27.68535614013672,10.220520973205566,1.8224776983261108,15.64235782623291,,,,,
0.0009110900366862309,4440,,,,,,,,,,,,,,,,
,4449,0.9644186496734619,37,,,,,,,,,,,,,,
,4499,0.9209277033805847,37,,,,,,,,,,,,,,
,4549,0.7818289399147034,37,,,,,,,,,,,,,,
,4559,,37,0.8915744423866272,26.650421142578125,7.066903114318848,1.8165706396102905,17.76694679260254,,,,,,,,,
,4559,,37,,,,,,26.391324996948242,9.412252426147461,1.8067545890808105,15.172318458557129,,,,,
0.000904603988690286,4560,,,,,,,,,,,,,,,,
,4599,0.9394121170043945,38,,,,,,,,,,,,,,
,4649,0.9378832578659058,38,,,,,,,,,,,,,,
,4679,,38,0.9958301782608032,29.751882553100586,11.652636528015137,1.2405848503112793,16.858661651611328,,,,,,,,,
,4679,,38,,,,,,25.450973510742188,8.938409805297852,1.9028123617172241,14.60975170135498,,,,,
0.0008979144621664494,4680,,,,,,,,,,,,,,,,
,4699,0.9507976770401001,39,,,,,,,,,,,,,,
,4749,0.8708837032318115,39,,,,,,,,,,,,,,
,4799,0.9593843817710876,39,,,,,,,,,,,,,,
,4799,,39,0.8862981200218201,27.514400482177734,9.525918960571289,1.1962782144546509,16.79220199584961,,,,,,,,,
,4799,,39,,,,,,25.21828842163086,8.79889965057373,1.8081815242767334,14.611207008361816,,,,,
0.0008910248254927808,4800,,,,,,,,,,,,,,,,
,4849,0.7717195749282837,40,,,,,,,,,,,,,,
,4899,0.740958571434021,40,,,,,,,,,,,,,,
,4919,,40,0.8627995252609253,26.583961486816406,9.304386138916016,1.2627381086349487,16.016836166381836,,,,,,,,,
,4919,,40,,,,,,24.35936164855957,8.603641510009766,1.928094744682312,13.827625274658203,,,,,
0.0008839385478088264,4920,,,,,,,,,,,,,,,,
,4949,0.6826969385147095,41,,,,,,,,,,,,,,
,4999,0.811049222946167,41,,,,,,,,,,,,,,
,5039,,41,0.8503884077072144,24.878156661987305,6.845369815826416,1.860877275466919,16.17190933227539,,,,,,,,,
,5039,,41,,,,,,23.582672119140625,8.238386154174805,1.8507815599441528,13.493505477905273,,,,,
0.0008766591972688036,5040,,,,,,,,,,,,,,,,
,5049,0.7932934761047363,42,,,,,,,,,,,,,,
,5099,0.718158483505249,42,,,,,,,,,,,,,,
,5149,0.868166446685791,42,,,,,,,,,,,,,,
,5159,,42,0.8678919672966003,25.21045684814453,6.114311218261719,2.1045634746551514,16.991580963134766,,,,,,,,,
,5159,,42,,,,,,23.070045471191406,8.087032318115234,1.9364866018295288,13.046527862548828,,,,,
0.0008691904392449266,5160,,,,,,,,,,,,,,,,
,5199,0.7592837810516357,43,,,,,,,,,,,,,,
,5249,0.7607231140136719,43,,,,,,,,,,,,,,
,5279,,43,0.9114289283752441,26.118741989135742,7.288435935974121,1.9716438055038452,16.858661651611328,,,,,,,,,
,5279,,43,,,,,,22.1011905670166,7.5961222648620605,1.8838822841644287,12.621185302734375,,,,,
0.000861536034481782,5280,,,,,,,,,,,,,,,,
,5299,0.6758193969726562,44,,,,,,,,,,,,,,
,5349,0.7039613723754883,44,,,,,,,,,,,,,,
,5399,0.821029782295227,44,,,,,,,,,,,,,,
,5399,,44,0.8306496143341064,24.457244873046875,7.133362770080566,1.5064244270324707,15.81745719909668,,,,,,,,,
,5399,,44,,,,,,21.793672561645508,7.526822566986084,1.8115543127059937,12.45529556274414,,,,,
0.0008536998372026804,5400,,,,,,,,,,,,,,,,
,5449,0.6780712604522705,45,,,,,,,,,,,,,,
,5499,0.7423070669174194,45,,,,,,,,,,,,,,
,5519,,45,0.8409695625305176,23.925565719604492,7.31058931350708,1.6393442153930664,14.975631713867188,,,,,,,,,
,5519,,45,,,,,,21.03468132019043,7.33243465423584,1.8344838619232178,11.86776351928711,,,,,
0.0008456857931689388,5520,,,,,,,,,,,,,,,,
,5549,0.8123734593391418,46,,,,,,,,,,,,,,
,5599,0.8723019361495972,46,,,,,,,,,,,,,,
,5639,,46,0.8185610771179199,23.416038513183594,6.2472310066223145,2.0159504413604736,15.152857780456543,,,,,,,,,
,5639,,46,,,,,,20.427915573120117,6.995635509490967,1.7829852104187012,11.649295806884766,,,,,
0.000837497937693071,5640,,,,,,,,,,,,,,,,
,5649,0.7948174476623535,47,,,,,,,,,,,,,,
,5699,0.7490247488021851,47,,,,,,,,,,,,,,
,5749,0.6120830774307251,47,,,,,,,,,,,,,,
,5759,,47,0.8387191891670227,24.05848503112793,7.089056491851807,1.3070447444915771,15.662384033203125,,,,,,,,,
,5759,,47,,,,,,20.211503982543945,7.3723249435424805,1.8668651580810547,10.97231388092041,,,,,
0.0008291403936068863,5760,,,,,,,,,,,,,,,,
,5799,0.6445071697235107,48,,,,,,,,,,,,,,
,5849,0.6731081008911133,48,,,,,,,,,,,,,,
,5879,,48,0.8212265968322754,22.88435935974121,6.357997417449951,1.7279574871063232,14.798404693603516,,,,,,,,,
,5879,,48,,,,,,20.16431999206543,7.037969589233398,1.8234864473342896,11.302864074707031,,,,,
0.0008206173691855193,5880,,,,,,,,,,,,,,,,
,5899,0.5840100646018982,49,,,,,,,,,,,,,,
,5949,0.6316052675247192,49,,,,,,,,,,,,,,
,5999,0.8005374670028687,49,,,,,,,,,,,,,,
,5999,,49,0.8798156380653381,23.969871520996094,4.740806579589844,3.0128488540649414,16.216217041015625,,,,,,,,,
,5999,,49,,,,,,18.654441833496094,6.5150556564331055,1.8061541318893433,10.333232879638672,,,,,
0.0008119331560284373,6000,,,,,,,,,,,,,,,,
,6049,0.783765435218811,50,,,,,,,,,,,,,,
,6099,0.5913221836090088,50,,,,,,,,,,,,,,
,6119,,50,0.8830536007881165,24.634469985961914,5.914931297302246,2.0824103355407715,16.637128829956055,,,,,,,,,
,6119,,50,,,,,,18.585466384887695,6.680736064910889,1.785640835762024,10.119088172912598,,,,,
0.0008030921268984896,6120,,,,,,,,,,,,,,,,
,6149,0.5822858810424805,51,,,,,,,,,,,,,,
,6199,0.5924789309501648,51,,,,,,,,,,,,,,
,6239,,51,0.8574743270874023,23.327425003051758,6.734603404998779,1.5950376987457275,14.997784614562988,,,,,,,,,
,6239,,51,,,,,,17.283288955688477,6.200560092926025,1.737255573272705,9.345473289489746,,,,,
0.0007940987335200902,6240,,,,,,,,,,,,,,,,
,6249,0.5800666809082031,52,,,,,,,,,,,,,,
,6299,0.6589412689208984,52,,,,,,,,,,,,,,
,6349,0.5075190663337708,52,,,,,,,,,,,,,,
,6359,,52,0.8590052723884583,23.083740234375,5.139565944671631,2.193176746368408,15.750996589660645,,,,,,,,,
,6359,,52,,,,,,17.349454879760742,6.250430107116699,1.7653782367706299,9.333645820617676,,,,,
0.0007849575043376416,6360,,,,,,,,,,,,,,,,
,6399,0.5513736605644226,53,,,,,,,,,,,,,,
,6449,0.6485832929611206,53,,,,,,,,,,,,,,
,6479,,53,0.8876364231109619,24.767391204833984,7.775808811187744,1.373504638671875,15.618077278137207,,,,,,,,,
,6479,,53,,,,,,17.12315559387207,6.171547889709473,1.75346839427948,9.198139190673828,,,,,
0.000775673042235325,6480,,,,,,,,,,,,,,,,
,6499,0.6163184642791748,54,,,,,,,,,,,,,,
,6549,0.6689727306365967,54,,,,,,,,,,,,,,
,6599,0.5894655585289001,54,,,,,,,,,,,,,,
,6599,,54,0.8157129883766174,22.862207412719727,6.003544330596924,1.794417381286621,15.064244270324707,,,,,,,,,
,6599,,54,,,,,,16.546772003173828,5.991951942443848,1.707458257675171,8.847362518310547,,,,,
0.0007662500222194103,6600,,,,,,,,,,,,,,,,
,6649,0.6037255525588989,55,,,,,,,,,,,,,,
,6699,0.49405622482299805,55,,,,,,,,,,,,,,
,6719,,55,0.8468810319900513,22.352680206298828,4.940186023712158,2.0159504413604736,15.396544456481934,,,,,,,,,
,6719,,55,,,,,,15.950591087341309,5.9351677894592285,1.7351069450378418,8.280316352844238,,,,,
0.00075669318906425,6720,,,,,,,,,,,,,,,,
,6749,0.5073250532150269,56,,,,,,,,,,,,,,
,6799,0.579170823097229,56,,,,,,,,,,,,,,
,6839,,56,0.8526709675788879,23.704030990600586,7.332742691040039,1.5064244270324707,14.86486530303955,,,,,,,,,
,6839,,56,,,,,,15.911726951599121,5.847097396850586,1.7607579231262207,8.303872108459473,,,,,
0.0007470073549231411,6840,,,,,,,,,,,,,,,,
,6849,0.43094655871391296,57,,,,,,,,,,,,,,
,6899,0.5344266891479492,57,,,,,,,,,,,,,,
,6949,0.4984992742538452,57,,,,,,,,,,,,,,
,6959,,57,0.8784235715866089,23.01727867126465,5.737704753875732,1.617190957069397,15.662384033203125,,,,,,,,,
,6959,,57,,,,,,15.220346450805664,5.692352294921875,1.6493401527404785,7.878654479980469,,,,,
0.0007371973969052627,6960,,,,,,,,,,,,,,,,
,6999,0.40334242582321167,58,,,,,,,,,,,,,,
,7049,0.5698953866958618,58,,,,,,,,,,,,,,
,7079,,58,0.8734279274940491,23.57111167907715,7.133362770080566,1.5285778045654297,14.909171104431152,,,,,,,,,
