lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,2099,2.2904772758483887,17,,,,,,,,,,,,,,
,2149,2.239980697631836,17,,,,,,,,,,,,,,
,2159,,17,2.121217966079712,84.04962158203125,82.7425765991211,0.0,1.3070447444915771,,,,,,,,,
,2159,,17,,,,,,88.2059097290039,87.44424438476562,0.0013723633019253612,0.7602893114089966,,,,,
0.0009919728295050155,2160,,,,,,,,,,,,,,,,
,2199,2.060673952102661,18,,,,,,,,,,,,,,
,2249,2.0170390605926514,18,,,,,,,,,,,,,,
,2279,,18,1.9958171844482422,82.52104187011719,80.7930908203125,0.0,1.7279574871063232,,,,,,,,,
,2279,,18,,,,,,81.70306396484375,79.00837707519531,0.005493750795722008,2.6891911029815674,,,,,
0.0009898478615124062,2280,,,,,,,,,,,,,,,,
,2299,2.135532855987549,19,,,,,,,,,,,,,,
,2349,1.9311389923095703,19,,,,,,,,,,,,,,
,2399,2.0261943340301514,19,,,,,,,,,,,,,,
,2399,,19,1.7470722198486328,68.80815124511719,63.02614212036133,0.04430660232901573,5.737704753875732,,,,,,,,,
,2399,,19,,,,,,76.42047882080078,71.48853302001953,0.012384923174977303,4.919566631317139,,,,,
0.000987476492134821,2400,,,,,,,,,,,,,,,,
,2449,2.138113498687744,20,,,,,,,,,,,,,,
,2499,1.8860806226730347,20,,,,,,,,,,,,,,
,2519,,20,1.6799046993255615,69.4284439086914,63.73504638671875,0.06645990163087845,5.626938343048096,,,,,,,,,
,2519,,20,,,,,,70.16812133789062,62.95195770263672,0.044026196002960205,7.172142505645752,,,,,
0.0009848599154281552,2520,,,,,,,,,,,,,,,,
,2549,1.7769379615783691,21,,,,,,,,,,,,,,
,2599,1.9845104217529297,21,,,,,,,,,,,,,,
,2639,,21,1.8062348365783691,68.76384735107422,61.85201644897461,0.0,6.911829948425293,,,,,,,,,
,2639,,21,,,,,,62.12025451660156,50.14008712768555,0.16343459486961365,11.816733360290527,,,,,
0.0009819994489175788,2640,,,,,,,,,,,,,,,,
,2649,1.9091686010360718,22,,,,,,,,,,,,,,
,2699,1.6096162796020508,22,,,,,,,,,,,,,,
,2749,1.7247314453125,22,,,,,,,,,,,,,,
,2759,,22,1.4476121664047241,46.32255172729492,26.716880798339844,0.7975188493728638,18.80815315246582,,,,,,,,,
,2759,,22,,,,,,53.93675994873047,36.57704162597656,0.4953628480434418,16.86435317993164,,,,,
0.0009788965329341228,2760,,,,,,,,,,,,,,,,
,2799,1.633790373802185,23,,,,,,,,,,,,,,
,2849,1.4926289319992065,23,,,,,,,,,,,,,,
,2879,,23,1.2920658588409424,41.8697395324707,23.083740234375,0.7753655314445496,18.01063346862793,,,,,,,,,
,2879,,23,,,,,,49.09193420410156,29.963401794433594,0.6796730756759644,18.44886016845703,,,,,
0.0009755527298894293,2880,,,,,,,,,,,,,,,,
,2899,1.4561841487884521,24,,,,,,,,,,,,,,
,2949,1.3412339687347412,24,,,,,,,,,,,,,,
,2999,1.4049586057662964,24,,,,,,,,,,,,,,
,2999,,24,1.2683674097061157,40.00886154174805,19.915817260742188,1.0855116844177246,19.007532119750977,,,,,,,,,
,2999,,24,,,,,,44.657081604003906,24.424571990966797,0.9039003849029541,19.328609466552734,,,,,
0.0009719697234890296,3000,,,,,,,,,,,,,,,,
,3049,1.3674908876419067,25,,,,,,,,,,,,,,
,3099,1.2901365756988525,25,,,,,,,,,,,,,,
,3119,,25,1.2107536792755127,37.50553894042969,17.94417381286621,1.373504638671875,18.1878604888916,,,,,,,,,
,3119,,25,,,,,,41.86788558959961,21.791980743408203,1.0381717681884766,19.037731170654297,,,,,
0.0009681493178845487,3120,,,,,,,,,,,,,,,,
,3149,1.3198893070220947,26,,,,,,,,,,,,,,
,3199,1.2475345134735107,26,,,,,,,,,,,,,,
,3239,,26,1.1437971591949463,35.84403991699219,16.79220199584961,1.2405848503112793,17.811254501342773,,,,,,,,,
,3239,,26,,,,,,40.18879318237305,19.841203689575195,1.1875275373458862,19.16006088256836,,,,,
0.0009640934367652599,3240,,,,,,,,,,,,,,,,
,3249,1.5132101774215698,27,,,,,,,,,,,,,,
,3299,1.4526687860488892,27,,,,,,,,,,,,,,
,3349,1.2782635688781738,27,,,,,,,,,,,,,,
,3359,,27,1.1149632930755615,35.09082794189453,14.488258361816406,1.3956578969955444,19.206911087036133,,,,,,,,,
,3359,,27,,,,,,38.97166442871094,18.660154342651367,1.3644014596939087,18.947107315063477,,,,,
0.0009598041223894496,3360,,,,,,,,,,,,,,,,
,3399,1.1294498443603516,28,,,,,,,,,,,,,,
,3449,1.1846256256103516,28,,,,,,,,,,,,,,
,3479,,28,1.0553086996078491,33.540096282958984,15.241471290588379,1.2184315919876099,17.0801944732666,,,,,,,,,
,3479,,28,,,,,,36.465206146240234,16.585586547851562,1.4621812105178833,18.417436599731445,,,,,
0.0009552835345560785,3480,,,,,,,,,,,,,,,,
,3499,1.2346320152282715,29,,,,,,,,,,,,,,
,3549,1.231640100479126,29,,,,,,,,,,,,,,
,3599,1.1925721168518066,29,,,,,,,,,,,,,,
,3599,,29,1.013931155204773,30.571556091308594,11.763402938842773,1.5728843212127686,17.235267639160156,,,,,,,,,
,3599,,29,,,,,,35.18256759643555,15.243810653686523,1.4349862337112427,18.503768920898438,,,,,
0.0009505339495172582,3600,,,,,,,,,,,,,,,,
,3649,1.1972064971923828,30,,,,,,,,,,,,,,
,3699,1.2682993412017822,30,,,,,,,,,,,,,,
,3719,,30,1.0508899688720703,31.8121395111084,10.456357955932617,1.7279574871063232,19.627824783325195,,,,,,,,,
,3719,,30,,,,,,33.31173324584961,14.07221508026123,1.6489046812057495,17.590614318847656,,,,,
0.0009455577588320895,3720,,,,,,,,,,,,,,,,
,3749,1.212138295173645,31,,,,,,,,,,,,,,
,3799,1.2798941135406494,31,,,,,,,,,,,,,,
,3839,,31,0.978762149810791,30.638015747070312,13.690739631652832,1.0855116844177246,15.861763000488281,,,,,,,,,
,3839,,31,,,,,,32.4002799987793,13.462039947509766,1.6012842655181885,17.336956024169922,,,,,
0.0009403574681624404,3840,,,,,,,,,,,,,,,,
,3849,1.1090813875198364,32,,,,,,,,,,,,,,
,3899,0.9508503079414368,32,,,,,,,,,,,,,,
,3949,1.1735517978668213,32,,,,,,,,,,,,,,
,3959,,32,0.9618796110153198,29.020824432373047,10.256978034973145,1.7722641229629517,16.991580963134766,,,,,,,,,
,3959,,32,,,,,,31.45838737487793,12.715348243713379,1.6512904167175293,17.09174919128418,,,,,
0.0009349356960112697,3960,,,,,,,,,,,,,,,,
,3999,0.9952019453048706,33,,,,,,,,,,,,,,
,4049,1.1166691780090332,33,,,,,,,,,,,,,,
,4079,,33,0.9634612202644348,30.28356170654297,12.007088661193848,1.4399645328521729,16.83650779724121,,,,,,,,,
,4079,,33,,,,,,30.29066276550293,11.863658905029297,1.6959903240203857,16.73101234436035,,,,,
0.0009292951724041319,4080,,,,,,,,,,,,,,,,
,4099,0.9467489123344421,34,,,,,,,,,,,,,,
,4149,1.20011305809021,34,,,,,,,,,,,,,,
,4199,1.044933557510376,34,,,,,,,,,,,,,,
,4199,,34,0.9187067747116089,28.599910736083984,12.18431568145752,1.129818320274353,15.285778045654297,,,,,,,,,
,4199,,34,,,,,,29.430675506591797,11.308182716369629,1.7612793445587158,16.36121368408203,,,,,
0.0009234387375145277,4200,,,,,,,,,,,,,,,,
,4249,0.9715775847434998,35,,,,,,,,,,,,,,
,4299,0.8208272457122803,35,,,,,,,,,,,,,,
,4319,,35,0.9297274947166443,28.156845092773438,9.304386138916016,1.8165706396102905,17.035888671875,,,,,,,,,
,4319,,35,,,,,,28.429332733154297,10.953752517700195,1.7785553932189941,15.697025299072266,,,,,
0.0009173693402337905,4320,,,,,,,,,,,,,,,,
,4349,0.880637526512146,36,,,,,,,,,,,,,,
,4399,0.9520974159240723,36,,,,,,,,,,,,,,
,4439,,36,0.9181889295578003,28.223304748535156,10.633584022521973,1.151971697807312,16.4377498626709,,,,,,,,,
,4439,,36,,,,,,27.566530227661133,10.407052040100098,1.8418216705322266,15.317655563354492,,,,,
0.0009110900366862309,4440,,,,,,,,,,,,,,,,
