Wall time,Step,Value
1741771958.117144,119,1711.6614990234375
1741772032.489674,239,113.93890380859375
1741772106.004724,359,100.0
1741772178.644143,479,100.0
1741772251.920536,599,100.0
1741772326.089022,719,100.0
1741772398.30911,839,100.0
1741772470.191884,959,99.99724578857422
1741772542.0543392,1079,99.84980010986328
1741772620.7146518,1199,99.37818145751953
1741772697.297858,1319,98.80142211914062
1741772769.983101,1439,96.56736755371094
1741772842.3196821,1559,91.82009887695312
1741772914.383351,1679,89.5125503540039
1741772986.574773,1799,86.77942657470703
1741773058.7359092,1919,83.45014190673828
1741773130.869955,2039,77.34532928466797
1741773203.018189,2159,74.72624206542969
1741773274.881773,2279,72.65142059326172
1741773346.946079,2399,70.68213653564453
1741773420.23964,2519,68.8004379272461
1741773493.0740201,2639,67.15557098388672
1741773565.261869,2759,66.68224334716797
1741773638.164768,2879,65.81944274902344
1741773711.677304,2999,64.7195816040039
1741773783.597184,3119,64.00270080566406
1741773856.341797,3239,63.4556884765625
1741773929.7368069,3359,62.859779357910156
1741774001.9780931,3479,62.633460998535156
1741774074.698671,3599,62.61150360107422
